ТЗ на контент и мета-теги,,,,,,,Общие требования — действуют для всех страниц,,,,,,,
Проект,virtusschool.uz — Virtus International School,,,,,,Язык,"UZ (основной, /), RU (/ru), EN (/en) — по отдельной строке на каждый язык",,,,,,
Причина,Вынос якорных секций в статические страницы: наполнение новых URL контентом и мета-тегами,,,,,,AI-текст,"<5%. copyleaks.com, zerogpt.com. Скриншот обязателен.",,,,,,
Связанные документы,ТЗ virtusschool статические страницы,,,,,,Уникальность,≥99%. duplichecker.com. Скриншот обязателен.,,,,,,
Ожидаемый результат,"4 новых раздела (приём, гранты, программы, FAQ) × 3 языка получают уникальные Title/Description/H1, структуру H2/H3 и вводный текст. Значения «стало» — финальные, готовые к простановке. У новых страниц столбца «было» нет (страниц ещё не существует) — заполняется только целевое значение.",,,,,,Тон,"Экспертный, доверительный. Читатель — родитель. Без рекламных штампов и восклицаний.",,,,,,
Постановщик,SEO-команда,,,,,,"Списки, таблицы","Минимум один список или таблица на страницу (этапы приёма, направления, условия грантов).",,,,,,
Исполнитель,Content team,,,,,,Что запрещено,Упоминания конкурентов. Слово «купить». Общие фразы без конкретики. Выдуманные факты — только данные с текущего сайта.,,,,,,
Дедлайн,,,,,,,Объём текста,150–250 слов вводного текста на страницу (FAQ — по объёму вопросов). Факты сверять с текущими uz/ru/en версиями.,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
URL страницы,Тип,Целевой запрос,Title — было,Title — стало,Description — было,Description — стало,H1 — было,H1 — стало,URL (slug),Alt главного фото,Структура,Заголовки H2 / H3,Фразы — обязательные,Фразы — желательные
/ru,Главная (существует),частные / международные школы в ташкенте + бренд,Virtus International School | Международная школа в Ташкенте,Virtus International School — частная международная школа в Ташкенте,Virtus International School — международная образовательная программа мирового уровня в Ташкенте. Готовим учеников к поступлению в ведущие университеты мира.,не меняем,Доступное премиальное образование для вашего ребёнка,не меняем,не меняем,не меняем,не меняем,не меняем,не меняем,
/en,Главная (существует),international / private school tashkent + brand,"Virtus International School | World-Class Education, Tashkent",Virtus International School — international school in Tashkent (IB),"Virtus International School offers a world-class international education programme in Tashkent, preparing students for top universities worldwide.",не меняем,Affordable premium education for your child,не меняем,не меняем,не меняем,не меняем,не меняем,не меняем,
"/  (uz, корень)",Главная (существует),xususiy / xalqaro maktab toshkent + brand,Virtus International School | Toshkentda xalqaro taʼlim,не меняем,Virtus International School — Toshkentdagi jahon darajasidagi xalqaro taʼlim dasturi. Oʻquvchilarni dunyoning yetakchi universitetlariga tayyorlaymiz.,не меняем,Farzandingiz uchun arzon premium taʼlim,не меняем,не меняем,не меняем,не меняем,не меняем,не меняем,
/ru/admissions,Инфо-страница (новая),поступление в международную школу Ташкент,—,"Поступление в Virtus International School — приём 2026–2027, Ташкент",—,"Приём в международную школу Virtus в Ташкенте на 2026–2027 год: возраст, этапы поступления, вступительные экзамены и сроки. Классы 18–20 учеников.",—,Поступление в Virtus International School,/ru/admissions,Ученики Virtus International School на занятии,"Новая страница. Вводный текст (набор 2026–2027, возраст) → блок «Этапы приёма» (5 шагов, список/HowTo) → критерии MYP и PYP → даты и наполняемость классов → форма заявки. Ссылки на /ru/grants и /ru/programs.","Этапы поступления
Кого принимаем: возраст и классы
Вступительные экзамены (MYP)
Собеседование и оценка (PYP)
Учебный год и наполняемость классов","частные школы ташкент цены | точная | 1 | Title, H1, текст
приём в школу | точная | 1 | H2 и текст
стоимость обучения в частной школе | любая | 1 | текст","цены на частные школы в ташкенте | любая | 1 | текст
зачисление ребенка в первый класс | любая | 1 | текст
какие документы нужны для поступления в школу | любая | 1 | текст
регистрация в первый класс | любая | 1 | текст
(частотности: см. файл СЯ, лист «СЯ RU», кластер Приём)"
/en/admissions,Инфо-страница (новая),international school admissions Tashkent,—,"Admissions — Virtus International School, Tashkent (2026–2027)",—,"Admissions to Virtus International School in Tashkent for 2026–2027: ages, admission stages, entrance exams and deadlines. Classes of 18–20 students.",—,Admissions to Virtus International School,/en/admissions,Virtus International School students in class,"New page. Intro (2026–2027 enrollment, ages) → «Admission stages» (5 steps, list/HowTo) → MYP & PYP criteria → academic year and class size → application form. Links to /en/grants and /en/programs.","Admission stages
Who we accept: ages and classes
Entrance exams (MYP)
Interview and assessment (PYP)
Academic year and class size","tashkent international school fees | точная | 1 | Title, H1, текст
school admission tashkent | точная | 1 | H2 и текст
international school tashkent admission | любая | 1 | текст","international school tashkent tuition | любая | 1 | текст
international school tashkent | любая | 1 | текст (перелинковка)
(частотности: см. файл СЯ, лист «СЯ EN». Бренды конкурентов не использовать)"
